时间,   纬度,    经度,     速度／卫星个数,    方向／海拔,    日期
GPRMC格式 01时32分38秒, 40度47.533分, 111度141.856分, 012.2米／秒, 253.6, 17年05月10日,
GPGGA格式 01时32分38秒, 40度47.533分, 111度141.856分, 05个, 1108米,

GPRMC格式 01时32分39秒, 40度47.532分, 111度141.852分, 011.3米／秒, 254.3, 17年05月10日,
GPGGA格式 01时32分39秒, 40度47.532分, 111度141.852分, 05个, 1106米,

GPRMC格式 01时32分39秒, 40度47.532分, 111度141.852分, 011.3米／秒, 254.3, 17年05月10日,
GPGGA格式 01时32分39秒, 40度47.532分, 111度141.852分, 05个, 1106米,

GPRMC格式 01时32分41秒, 40度47.557分, 111度141.837分, 012.3米／秒, 252.0, 17年05月10日,
GPGGA格式 01时32分41秒, 40度47.557分, 111度141.837分, 06个, 1181米,

GPRMC格式 01时32分42秒, 40度47.563分, 111度141.830分, 012.2米／秒, 255.4, 17年05月10日,
GPGGA格式 01时32分42秒, 40度47.563分, 111度141.830分, 06个, 1199米,

GPRMC格式 01时32分43秒, 40度47.561分, 111度141.826分, 014.2米／秒, 257.0, 17年05月10日,
GPGGA格式 01时32分43秒, 40度47.561分, 111度141.826分, 06个, 1195米,

GPRMC格式 01时32分44秒, 40度47.560分, 111度141.821分, 014.5米／秒, 258.9, 17年05月10日,
GPGGA格式 01时32分44秒, 40度47.560分, 111度141.821分, 06个, 1194米,

GPRMC格式 01时32分45秒, 40度47.559分, 111度141.815分, 014.7米／秒, 260.2, 17年05月10日,
GPGGA格式 01时32分45秒, 40度47.559分, 111度141.815分, 06个, 1192米,

GPRMC格式 01时32分46秒, 40度47.560分, 111度141.810分, 014.6米／秒, 259.4, 17年05月10日,
GPGGA格式 01时32分46秒, 40度47.560分, 111度141.810分, 06个, 1194米,

GPRMC格式 01时32分47秒, 40度47.558分, 111度141.806分, 013.9米／秒, 252.7, 17年05月10日,
GPGGA格式 01时32分47秒, 40度47.558分, 111度141.806分, 06个, 1195米,

GPRMC格式 01时32分48秒, 40度47.558分, 111度141.800分, 014.7米／秒, 257.7, 17年05月10日,
GPGGA格式 01时32分48秒, 40度47.558分, 111度141.800分, 06个, 1196米,

GPRMC格式 01时32分49秒, 40度47.555分, 111度141.796分, 014.9米／秒, 259.9, 17年05月10日,
GPGGA格式 01时32分49秒, 40度47.555分, 111度141.796分, 07个, 1184米,

GPRMC格式 01时32分50秒, 40度47.551分, 111度141.791分, 014.5米／秒, 258.7, 17年05月10日,
GPGGA格式 01时32分50秒, 40度47.551分, 111度141.791分, 07个, 1174米,

GPRMC格式 01时32分51秒, 40度47.549分, 111度141.787分, 012.9米／秒, 254.0, 17年05月10日,
GPGGA格式 01时32分51秒, 40度47.549分, 111度141.787分, 07个, 1167米,

GPRMC格式 01时32分52秒, 40度47.547分, 111度141.783分, 011.1米／秒, 254.8, 17年05月10日,
GPGGA格式 01时32分52秒, 40度47.547分, 111度141.783分, 08个, 1162米,

GPRMC格式 01时32分53秒, 40度47.548分, 111度141.779分, 010.7米／秒, 259.7, 17年05月10日,
GPGGA格式 01时32分53秒, 40度47.548分, 111度141.779分, 08个, 1159米,

GPRMC格式 01时32分54秒, 40度47.547分, 111度141.776分, 009.6米／秒, 273.7, 17年05月10日,
GPGGA格式 01时32分54秒, 40度47.547分, 111度141.776分, 08个, 1151米,

GPRMC格式 01时32分55秒, 40度47.547分, 111度141.771分, 009.3米／秒, 298.6, 17年05月10日,
GPGGA格式 01时32分55秒, 40度47.547分, 111度141.771分, 08个, 1147米,

GPRMC格式 01时32分56秒, 40度47.549分, 111度141.769分, 011.0米／秒, 327.2, 17年05月10日,
GPGGA格式 01时32分56秒, 40度47.549分, 111度141.769分, 08个, 1147米,

GPRMC格式 01时32分57秒, 40度47.552分, 111度141.767分, 013.1米／秒, 338.5, 17年05月10日,
GPGGA格式 01时32分57秒, 40度47.552分, 111度141.767分, 08个, 1147米,

GPRMC格式 01时32分58秒, 40度47.556分, 111度141.766分, 016.3米／秒, 341.1, 17年05月10日,
GPGGA格式 01时32分58秒, 40度47.556分, 111度141.766分, 08个, 1146米,

GPRMC格式 01时32分59秒, 40度47.560分, 111度141.764分, 018.5米／秒, 340.4, 17年05月10日,
GPGGA格式 01时32分59秒, 40度47.560分, 111度141.764分, 08个, 1145米,

GPRMC格式 01时33分00秒, 40度47.565分, 111度141.762分, 020.1米／秒, 339.9, 17年05月10日,
GPGGA格式 01时33分00秒, 40度47.565分, 111度141.762分, 08个, 1144米,

GPRMC格式 01时33分01秒, 40度47.571分, 111度141.759分, 022.2米／秒, 339.6, 17年05月10日,
GPGGA格式 01时33分01秒, 40度47.571分, 111度141.759分, 08个, 1144米,

GPRMC格式 01时33分02秒, 40度47.577分, 111度141.757分, 022.7米／秒, 339.2, 17年05月10日,
GPGGA格式 01时33分02秒, 40度47.577分, 111度141.757分, 08个, 1143米,

GPRMC格式 01时33分03秒, 40度47.583分, 111度141.754分, 023.3米／秒, 338.7, 17年05月10日,
GPGGA格式 01时33分03秒, 40度47.583分, 111度141.754分, 08个, 1142米,

GPRMC格式 01时33分04秒, 40度47.589分, 111度141.751分, 022.5米／秒, 339.4, 17年05月10日,
GPGGA格式 01时33分04秒, 40度47.589分, 111度141.751分, 08个, 1142米,

GPRMC格式 01时33分05秒, 40度47.595分, 111度141.748分, 022.2米／秒, 339.1, 17年05月10日,
GPGGA格式 01时33分05秒, 40度47.595分, 111度141.748分, 08个, 1142米,

GPRMC格式 01时33分06秒, 40度47.601分, 111度141.746分, 021.9米／秒, 339.9, 17年05月10日,
GPGGA格式 01时33分06秒, 40度47.601分, 111度141.746分, 08个, 1142米,

GPRMC格式 01时33分07秒, 40度47.607分, 111度141.743分, 021.4米／秒, 340.3, 17年05月10日,
GPGGA格式 01时33分07秒, 40度47.607分, 111度141.743分, 08个, 1142米,

GPRMC格式 01时33分08秒, 40度47.613分, 111度141.741分, 020.6米／秒, 341.2, 17年05月10日,
GPGGA格式 01时33分08秒, 40度47.613分, 111度141.741分, 08个, 1141米,

GPRMC格式 01时33分09秒, 40度47.618分, 111度141.738分, 018.8米／秒, 342.0, 17年05月10日,
GPGGA格式 01时33分09秒, 40度47.618分, 111度141.738分, 08个, 1142米,

GPRMC格式 01时33分10秒, 40度47.623分, 111度141.737分, 016.5米／秒, 342.1, 17年05月10日,
GPGGA格式 01时33分10秒, 40度47.623分, 111度141.737分, 08个, 1141米,

GPRMC格式 01时33分11秒, 40度47.627分, 111度141.735分, 014.8米／秒, 342.6, 17年05月10日,
GPGGA格式 01时33分11秒, 40度47.627分, 111度141.735分, 09个, 1140米,

GPRMC格式 01时33分12秒, 40度47.631分, 111度141.734分, 013.2米／秒, 342.9, 17年05月10日,
GPGGA格式 01时33分12秒, 40度47.631分, 111度141.734分, 09个, 1140米,

GPRMC格式 01时33分13秒, 40度47.634分, 111度141.733分, 011.6米／秒, 343.2, 17年05月10日,
GPGGA格式 01时33分13秒, 40度47.634分, 111度141.733分, 09个, 1139米,

GPRMC格式 01时33分14秒, 40度47.637分, 111度141.732分, 009.7米／秒, 343.4, 17年05月10日,
GPGGA格式 01时33分14秒, 40度47.637分, 111度141.732分, 09个, 1139米,

GPRMC格式 01时33分15秒, 40度47.639分, 111度141.731分, 008.0米／秒, 343.5, 17年05月10日,
GPGGA格式 01时33分15秒, 40度47.639分, 111度141.731分, 10个, 1139米,

GPRMC格式 01时33分16秒, 40度47.641分, 111度141.730分, 007.1米／秒, 343.4, 17年05月10日,
GPGGA格式 01时33分16秒, 40度47.641分, 111度141.730分, 08个, 1140米,

GPRMC格式 01时33分17秒, 40度47.643分, 111度141.730分, 007.0米／秒, 343.3, 17年05月10日,
GPGGA格式 01时33分17秒, 40度47.643分, 111度141.730分, 08个, 1139米,

GPRMC格式 01时33分18秒, 40度47.645分, 111度141.729分, 006.7米／秒, 343.0, 17年05月10日,
GPGGA格式 01时33分18秒, 40度47.645分, 111度141.729分, 08个, 1139米,

GPRMC格式 01时33分19秒, 40度47.646分, 111度141.728分, 005.6米／秒, 343.0, 17年05月10日,
GPGGA格式 01时33分19秒, 40度47.646分, 111度141.728分, 08个, 1138米,

GPRMC格式 01时33分20秒, 40度47.647分, 111度141.728分, 003.9米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分20秒, 40度47.647分, 111度141.728分, 08个, 1137米,

GPRMC格式 01时33分21秒, 40度47.648分, 111度141.727分, 002.4米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分21秒, 40度47.648分, 111度141.727分, 08个, 1137米,

GPRMC格式 01时33分22秒, 40度47.648分, 111度141.727分, 001.4米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分22秒, 40度47.648分, 111度141.727分, 08个, 1136米,

GPRMC格式 01时33分23秒, 40度47.648分, 111度141.727分, 000.9米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分23秒, 40度47.648分, 111度141.727分, 09个, 1135米,

GPRMC格式 01时33分24秒, 40度47.648分, 111度141.727分, 000.9米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分24秒, 40度47.648分, 111度141.727分, 09个, 1135米,

GPRMC格式 01时33分25秒, 40度47.617分, 111度141.721分, 001.1米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分25秒, 40度47.617分, 111度141.721分, 10个, 1132米,

GPRMC格式 01时33分26秒, 40度47.617分, 111度141.720分, 001.1米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分26秒, 40度47.617分, 111度141.720分, 09个, 1128米,

GPRMC格式 01时33分27秒, 40度47.617分, 111度141.721分, 001.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分27秒, 40度47.617分, 111度141.721分, 09个, 1122米,

GPRMC格式 01时33分28秒, 40度47.618分, 111度141.722分, 001.3米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分28秒, 40度47.618分, 111度141.722分, 09个, 1119米,

GPRMC格式 01时33分29秒, 40度47.618分, 111度141.722分, 001.5米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分29秒, 40度47.618分, 111度141.722分, 09个, 1115米,

GPRMC格式 01时33分30秒, 40度47.618分, 111度141.723分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分30秒, 40度47.618分, 111度141.723分, 09个, 1113米,

GPRMC格式 01时33分31秒, 40度47.617分, 111度141.726分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分31秒, 40度47.617分, 111度141.726分, 10个, 1101米,

GPRMC格式 01时33分32秒, 40度47.616分, 111度141.728分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分32秒, 40度47.616分, 111度141.728分, 10个, 1092米,

GPRMC格式 01时33分33秒, 40度47.617分, 111度141.734分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分33秒, 40度47.617分, 111度141.734分, 10个, 1071米,

GPRMC格式 01时33分34秒, 40度47.617分, 111度141.736分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分34秒, 40度47.617分, 111度141.736分, 10个, 1063米,

GPRMC格式 01时33分35秒, 40度47.617分, 111度141.736分, 000.1米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分35秒, 40度47.617分, 111度141.736分, 10个, 1062米,

GPRMC格式 01时33分36秒, 40度47.618分, 111度141.736分, 000.2米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分36秒, 40度47.618分, 111度141.736分, 10个, 1061米,

GPRMC格式 01时33分37秒, 40度47.618分, 111度141.736分, 000.3米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分37秒, 40度47.618分, 111度141.736分, 10个, 1060米,

GPRMC格式 01时33分38秒, 40度47.619分, 111度141.735分, 000.3米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分38秒, 40度47.619分, 111度141.735分, 10个, 1060米,

GPRMC格式 01时33分39秒, 40度47.620分, 111度141.735分, 000.1米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分39秒, 40度47.620分, 111度141.735分, 10个, 1059米,

GPRMC格式 01时33分40秒, 40度47.620分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分40秒, 40度47.620分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分41秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分41秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分42秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分42秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分43秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分43秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分44秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分44秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分45秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分45秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分46秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分46秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分47秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分47秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分48秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分48秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分49秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分49秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分50秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分50秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分51秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分51秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分52秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分52秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分53秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分53秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分54秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分54秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分55秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分55秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分56秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分56秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分57秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分57秒, 40度47.621分, 111度141.735分, 10个, 1058米,

GPRMC格式 01时33分58秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分58秒, 40度47.621分, 111度141.735分, 10个, 1058米,

GPRMC格式 01时33分59秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分59秒, 40度47.621分, 111度141.735分, 10个, 1058米,

GPRMC格式 01时34分00秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分00秒, 40度47.621分, 111度141.735分, 10个, 1058米,

GPRMC格式 01时34分01秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分01秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时34分02秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分02秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时34分03秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分03秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时34分04秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分04秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时34分05秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分05秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时34分06秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分06秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时34分07秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分07秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时34分08秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分08秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时34分09秒, 40度47.622分, 111度141.734分, 000.6米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分09秒, 40度47.622分, 111度141.734分, 09个, 1058米,

GPRMC格式 01时34分10秒, 40度47.622分, 111度141.734分, 000.8米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分10秒, 40度47.622分, 111度141.734分, 09个, 1058米,

GPRMC格式 01时34分11秒, 40度47.623分, 111度141.734分, 001.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分11秒, 40度47.623分, 111度141.734分, 10个, 1058米,

GPRMC格式 01时34分12秒, 40度47.623分, 111度141.734分, 001.3米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分12秒, 40度47.623分, 111度141.734分, 10个, 1058米,

GPRMC格式 01时34分13秒, 40度47.623分, 111度141.734分, 001.7米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分13秒, 40度47.623分, 111度141.734分, 10个, 1058米,

GPRMC格式 01时34分14秒, 40度47.624分, 111度141.734分, 002.3米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分14秒, 40度47.624分, 111度141.734分, 10个, 1058米,

GPRMC格式 01时34分15秒, 40度47.624分, 111度141.733分, 003.1米／秒, 339.1, 17年05月10日,
GPGGA格式 01时34分15秒, 40度47.624分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分16秒, 40度47.626分, 111度141.733分, 001.5米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分16秒, 40度47.626分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分17秒, 40度47.626分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分17秒, 40度47.626分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分18秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分18秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分19秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分19秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分20秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分20秒, 40度47.627分, 111度141.733分, 09个, 1058米,

GPRMC格式 01时34分21秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分21秒, 40度47.627分, 111度141.733分, 09个, 1058米,

GPRMC格式 01时34分22秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分22秒, 40度47.627分, 111度141.733分, 09个, 1058米,

GPRMC格式 01时34分23秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分23秒, 40度47.627分, 111度141.733分, 08个, 1058米,

GPRMC格式 01时34分24秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分24秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分25秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分25秒, 40度47.627分, 111度141.733分, 09个, 1058米,

GPRMC格式 01时34分26秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分26秒, 40度47.627分, 111度141.733分, 09个, 1058米,

GPRMC格式 01时34分27秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分27秒, 40度47.627分, 111度141.733分, 09个, 1058米,

GPRMC格式 01时34分28秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分28秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分29秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分29秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分30秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分30秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分31秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分31秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分32秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分32秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分33秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分33秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分34秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分34秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分35秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分35秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分36秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分36秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分37秒, 40度47.627分, 111度141.733分, 000.4米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分37秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分38秒, 40度47.627分, 111度141.733分, 000.4米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分38秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分39秒, 40度47.627分, 111度141.733分, 000.4米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分39秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分40秒, 40度47.627分, 111度141.733分, 000.6米／秒, 337.5, 17年05月10日,
GPGGA格式 01时34分40秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分41秒, 40度47.627分, 111度141.733分, 000.6米／秒, 349.7, 17年05月10日,
GPGGA格式 01时34分41秒, 40度47.627分, 111度141.733分, 10个, 1057米,

GPRMC格式 01时34分42秒, 40度47.627分, 111度141.733分, 000.9米／秒, 348.5, 17年05月10日,
GPGGA格式 01时34分42秒, 40度47.627分, 111度141.733分, 10个, 1057米,

GPRMC格式 01时34分43秒, 40度47.627分, 111度141.733分, 000.9米／秒, 347.2, 17年05月10日,
GPGGA格式 01时34分43秒, 40度47.627分, 111度141.733分, 10个, 1057米,

